Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken (min),Distance
23.369746,85.33982,23.429746,85.39982,Sunny,Jam,2,Snack,motorcycle,1.0,Metropolitian,21,9.04
17.45971,78.368855,17.56971,78.478855,Sunny,Jam,2,Meal,electric_scooter,1.0,Metropolitian,30,16.87
12.975996,80.221898,13.035996,80.281898,Cloudy,Medium,1,Buffet,motorcycle,1.0,Metropolitian,15,9.3
0.0,0.0,0.05,0.05,Windy,Low,2,Drinks,motorcycle,1.0,Urban,28,7.85
13.058616,80.264151,13.078616,80.284151,Windy,Low,2,Buffet,scooter,0.0,Metropolitian,19,3.1
26.47775,80.351569,26.53775,80.411569,Sunny,Medium,1,Drinks,motorcycle,0.0,Metropolitian,12,8.94
26.956431,75.776649,27.036431,75.856649,Fog,Medium,0,Snack,motorcycle,1.0,Metropolitian,35,11.9
11.003008,76.97544,11.043008,77.01544,Fog,Medium,0,Snack,motorcycle,1.0,Metropolitian,26,6.22
26.956431,75.776649,27.086431,75.906649,Windy,Jam,1,Snack,scooter,1.0,Metropolitian,35,19.34
22.553227,88.353273,22.583227,88.383273,Fog,Medium,2,Buffet,electric_scooter,1.0,Metropolitian,18,4.53
12.970221,77.645396,13.040221,77.715396,Sunny,Medium,1,Drinks,motorcycle,1.0,Metropolitian,22,10.85
21.170798,72.790489,21.240798,72.860489,Fog,Medium,2,Meal,scooter,1.0,Metropolitian,39,10.63
19.103249,72.846749,19.193249,72.936749,Sunny,Low,2,Snack,scooter,1.0,Metropolitian,43,13.74
22.728163,75.884212,22.808163,75.964212,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Metropolitian,53,12.08
19.876994,75.372353,19.906994,75.402353,Stormy,Jam,2,Meal,scooter,1.0,Metropolitian,27,4.57
30.346994,78.062543,30.416994,78.132543,Cloudy,Medium,0,Meal,motorcycle,1.0,Metropolitian,37,10.27
18.563934,73.915367,18.583935,73.935367,Windy,Low,0,Meal,motorcycle,0.0,Metropolitian,15,3.06
22.74806,75.8934,22.75806,75.9034,Fog,Low,2,Drinks,electric_scooter,1.0,Urban,15,1.51
23.357804,85.325146,23.447804,85.415146,Stormy,Medium,1,Snack,motorcycle,0.0,Metropolitian,31,13.56
12.934365,77.616155,12.964365,77.646155,Sunny,Low,0,Snack,motorcycle,0.0,Metropolitian,10,4.65
11.006686,76.951736,11.036686,76.981736,Sandstorms,Low,2,Buffet,scooter,0.0,Metropolitian,29,4.66
23.211529,77.419399,23.241529,77.449399,Sandstorms,Jam,2,Meal,scooter,1.0,Metropolitian,30,4.52
22.308096,73.167753,22.338096,73.197753,Sandstorms,Medium,0,Snack,motorcycle,1.0,Metropolitian,31,4.54
21.17106,72.789292,21.23106,72.849292,Sunny,Medium,1,Buffet,motorcycle,1.0,Metropolitian,18,9.11
12.981615,80.231598,12.991615,80.241598,Stormy,Low,0,Drinks,motorcycle,0.0,Metropolitian,28,1.55
26.921411,75.793604,26.951411,75.823604,,,0,Snack,motorcycle,0.0,Metropolitian,36,4.46
11.024839,77.007003,11.054839,77.037003,Fog,Jam,2,Buffet,motorcycle,1.0,Metropolitian,32,4.66
12.933298,77.614293,13.023298,77.704293,Fog,Jam,1,Drinks,scooter,2.0,Metropolitian,44,13.95
22.75004,75.902847,22.78004,75.932847,Cloudy,Jam,0,Meal,motorcycle,0.0,Metropolitian,25,4.53
22.515082,88.36783,22.535082,88.38783,Windy,Low,0,Meal,motorcycle,0.0,Urban,29,3.02
0.0,0.0,0.06,0.06,Cloudy,Low,0,Drinks,motorcycle,1.0,Metropolitian,21,9.41
12.972532,77.608179,13.052532,77.688179,Sandstorms,Medium,1,Snack,scooter,0.0,Metropolitian,16,12.4
11.026117,76.944652,11.036117,76.954652,Cloudy,Low,2,Drinks,electric_scooter,1.0,,19,1.55
11.022298,76.998349,11.072298,77.048349,Stormy,Jam,1,Drinks,scooter,0.0,Metropolitian,14,7.77
17.433809,78.386744,17.443809,78.396744,Sandstorms,Low,2,Buffet,motorcycle,0.0,Metropolitian,18,1.53
27.160934,78.044095,27.190934,78.074095,Windy,Low,1,Drinks,motorcycle,0.0,Metropolitian,21,4.46
11.000762,76.981876,11.080762,77.061876,Fog,Jam,0,Snack,motorcycle,3.0,Metropolitian,49,12.44
21.149669,72.772629,21.219669,72.842629,Sunny,Medium,1,Drinks,scooter,1.0,Metropolitian,27,10.63
12.3085,76.665808,12.3785,76.735808,Fog,Jam,0,Meal,motorcycle,1.0,Urban,46,10.86
11.022298,76.998349,11.042298,77.018349,Cloudy,Low,2,Meal,motorcycle,0.0,Metropolitian,12,3.11
11.022477,76.995667,11.132477,77.105667,Stormy,Medium,0,Snack,motorcycle,0.0,Metropolitian,30,17.1
17.438263,78.397865,17.548263,78.507865,Stormy,Medium,2,Buffet,motorcycle,1.0,Metropolitian,29,16.87
12.325461,76.632278,12.385461,76.692278,Cloudy,Medium,0,Snack,motorcycle,1.0,Metropolitian,31,9.31
0.0,0.0,0.03,0.03,Stormy,Jam,2,Buffet,scooter,1.0,Metropolitian,29,4.71
0.0,0.0,0.04,0.04,Sunny,High,2,Buffet,electric_scooter,0.0,Metropolitian,24,6.28
0.0,0.0,0.07,0.07,Sandstorms,Jam,0,Snack,motorcycle,1.0,Metropolitian,28,10.98
23.371292,85.327872,23.461292,85.417872,Fog,Jam,1,Snack,scooter,1.0,Metropolitian,43,13.56
19.876428,75.364792,19.986428,75.474792,Fog,Low,1,Drinks,scooter,1.0,Metropolitian,30,16.76
17.450851,78.379347,17.510851,78.439347,Sandstorms,Medium,2,Meal,motorcycle,1.0,Metropolitian,28,9.2
23.355164,85.324097,23.395164,85.364097,Windy,High,2,Snack,motorcycle,1.0,Metropolitian,29,6.03
17.431668,78.408321,17.481668,78.458321,Fog,Jam,1,Snack,motorcycle,1.0,Metropolitian,27,7.67
12.311072,76.654878,12.381072,76.724878,Fog,Jam,1,Snack,motorcycle,1.0,Metropolitian,35,10.86
18.563934,73.915367,18.583935,73.935367,Stormy,Low,0,Buffet,motorcycle,0.0,Metropolitian,22,3.06
